FX_Name,Direction,Units,Trading_Windows,Mandatory_Window,Close_Window
AUDJPY,1,14831,"(1:40, 3:35)-0.0; (4:00, 6:30)-0.4; (8:05, 10:50)-0.35; (11:15, 13:55)-0.25","(1:00, 3:00)","(14:10, 16:30)"
AUDJPY,-1,152,"(1:40, 3:35)-0.0; (4:00, 6:30)-0.4; (8:05, 10:50)-0.35; (11:15, 13:55)-0.25","(1:00, 3:00)","(14:10, 16:30)"
AUDNZD,1,166,"(1:40, 3:35)-0.0; (4:00, 6:30)-0.4; (8:05, 10:50)-0.35; (11:15, 13:55)-0.25","(1:00, 3:00)","(14:10, 16:30)"
AUDNZD,-1,152,"(1:40, 3:35)-0.0; (4:00, 6:30)-0.4; (8:05, 10:50)-0.35; (11:15, 13:55)-0.25","(1:00, 3:00)","(14:10, 16:30)"
AUDUSD,1,100,"(1:40, 3:35)-0.0; (4:00, 6:30)-0.4; (8:05, 10:50)-0.35; (11:15, 13:55)-0.25","(1:00, 3:00)","(14:10, 16:30)"
AUDUSD,-1,152,"(1:40, 3:35)-0.0; (4:00, 6:30)-0.4; (8:05, 10:50)-0.35; (11:15, 13:55)-0.25","(1:00, 3:00)","(14:10, 16:30)"
CADJPY,1,14830,"(1:40, 3:35)-0.0; (4:00, 6:30)-0.4; (8:05, 10:50)-0.35; (11:15, 13:55)-0.25","(1:00, 3:00)","(14:10, 16:30)"
CADJPY,-1,137,"(1:40, 3:35)-0.0; (4:00, 6:30)-0.4; (8:05, 10:50)-0.35; (11:15, 13:55)-0.25","(1:00, 3:00)","(14:10, 16:30)"
CHFJPY,1,14831,"(1:40, 3:35)-0.0; (4:00, 6:30)-0.4; (8:05, 10:50)-0.35; (11:15, 13:55)-0.25","(1:00, 3:00)","(14:10, 16:30)"
CHFJPY,-1,88,"(1:40, 3:35)-0.0; (4:00, 6:30)-0.4; (8:05, 10:50)-0.35; (11:15, 13:55)-0.25","(1:00, 3:00)","(14:10, 16:30)"
EURAUD,1,152,"(1:40, 3:35)-0.0; (4:00, 6:30)-0.4; (8:05, 10:50)-0.35; (11:15, 13:55)-0.25","(1:00, 3:00)","(14:10, 16:30)"
EURAUD,-1,91,"(1:40, 3:35)-0.0; (4:00, 6:30)-0.4; (8:05, 10:50)-0.35; (11:15, 13:55)-0.25","(1:00, 3:00)","(14:10, 16:30)"
