fx_timestamp,currency_pair,max_value,min_value,max_min_diff,vol,fd
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,2.22E-16,8229
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,2157
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,2.22E-16,2402
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,8221
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,2460
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,2.22E-16,8263
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,9290
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,8644
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,2.22E-16,4844
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,7318
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,6569
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,0,3187
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,4015
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,3686
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,2.22E-16,4800
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,6723
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,4873
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,2.22E-16,2093
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,1610
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,3801
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,0,3601
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,4263
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,4.45E-16,1084
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,0,4800
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,6094
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,5286
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,2.22E-16,8661
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,7102
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,3740
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,0,7068
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,3063
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,2532
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,0,8554
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,7085
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,9301
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,2.22E-16,2334
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,496
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,9379
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,2.22E-16,7585
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,7624
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,5291
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,2.22E-16,8970
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,8228
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,7511
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,0,1553
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,10000
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,4.45E-16,2912
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,2.22E-16,1090
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,4873
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,4.45E-16,6107
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,0,4843
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,8305
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,6512
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,0,9290
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,8029
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,8645
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,0,4824
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,5799
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,5131
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,2.22E-16,1267
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,4162
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,5905
11/10/2023 21:04,USDAUD,1.57,1.57,1.57,2.22E-16,3394
11/10/2023 21:04,EURUSD,1.07,1.07,1.07,0,257
11/10/2023 21:04,GBPEUR,1.14,1.14,1.14,2.22E-16,1444
